年度,学校コード,学部(研究科)番号,所在地,学校名,学校種別,学部・研究科名,課程別,昼夜別,学科・専攻名,符号,性別,A大学院研究科,B大学学部,C短期大学本科,D専攻科,E別科,F自営業主等,G無期雇用労働者,H有期雇用労働者,I臨時労働者,臨床研修医(予定者を含む),専修学校・外国の学校等入学者,J(進学準備中),J(就職準備中),J(その他),不詳・死亡の者,7状況別計(a),左記A~Eのうち自営業者等無期(再掲),雇用契約期間1年以上フルタイム相当(再掲),左記Hのうち雇用契約期間が1年以上フルタイム勤務相当(再掲),8博士(再掲)満期退学,8博士(再掲)ポスドクH,8博士(再掲)ポスドクI,8博士(再掲)ポスドクJ,①年度入学,②年度入学,③年度入学,④年度入学,⑤年度入学,その他(編入),年度別計(a),入学年度①,入学年度②,入学年度③,入学年度④,入学年度⑤,進学者,就職者,臨床研修医,その他,合計（確認用）
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,人間機械システムデザイン,J9AB,女,,,,,,,3,,,,,,1,,,4,,,,,,,,2,2,,,,,4,4,3,2,1,30,0,3,0,1,4
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境フィールド工学,J9AC,男,3,,,,,,20,,,,,,,1,,24,,,,,,,,21,3,,,,,24,4,3,2,1,30,3,20,0,1,24
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境フィールド工学,J9AC,女,,,,,,,4,,,,,,,,,4,,,,,,,,3,1,,,,,4,4,3,2,1,30,0,4,0,0,4
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境創生工学,J9AD,男,5,,,,,,19,,,,,,2,,,26,,,,,,,,22,4,,,,,26,4,3,2,1,30,5,19,0,2,26
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境創生工学,J9AD,女,,,,,,,1,,,,1,,,2,,4,,,,,,,,2,2,,,,,4,4,3,2,1,30,1,1,0,2,4
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境循環システム,J9AE,男,2,,,,,,19,,,,,,1,,,22,,,,,,,,21,1,,,,,22,4,3,2,1,30,2,19,0,1,22
2024,F101110100010,2G60,1,北海道大学,2,工学院,2,1,環境循環システム,J9AE,女,,,,,,,2,,,,1,,,,,3,,,,,,,,2,1,,,,,3,4,3,2,1,30,1,2,0,0,3
2024,F101110100010,2K28,1,北海道大学,2,水産科学院,2,1,海洋生物資源科学,K823,男,4,,,,,,23,,,,,,,,,27,,,,,,,,26,1,,,,,27,4,3,2,1,30,4,23,0,0,27
2024,F101110100010,2K28,1,北海道大学,2,水産科学院,2,1,海洋生物資源科学,K823,女,1,,,,,,11,,,,,,,,,12,,,,,,,,12,,,,,,12,4,3,2,1,30,1,11,0,0,12
2024,F101110100010,2K28,1,北海道大学,2,水産科学院,2,1,海洋応用生命科学,K824,男,3,,,,,,34,,,,,,1,,,38,,,,,,,,37,,1,,,,38,4,3,2,1,30,3,34,0,1,38
2024,F101110100010,2K28,1,北海道大学,2,水産科学院,2,1,海洋応用生命科学,K824,女,3,,,,,,12,,,,,,,1,,16,,,,,,,,15,,1,,,,16,4,3,2,1,30,3,12,0,1,16
2024,F101110100010,2K30,1,北海道大学,2,農学院,2,1,農学（系）,K101,男,11,,,,,,72,4,,,,,2,2,,91,,,3,,,,,81,10,,,,,91,4,3,2,1,30,11,76,0,4,91
2024,F101110100010,2K30,1,北海道大学,2,農学院,2,1,農学（系）,K101,女,8,,,,,1,56,3,,,,,3,2,,73,,,3,,,,,65,8,,,,,73,4,3,2,1,30,8,60,0,5,73
2024,F101110100010,2M56,1,北海道大学,2,大学院保健科学院,2,1,保健科学,O936,男,1,,,,,,16,,,,,,,,,17,,,,,,,,16,1,,,,,17,4,3,2,1,30,1,16,0,0,17
2024,F101110100010,2M56,1,北海道大学,2,大学院保健科学院,2,1,保健科学,O936,女,4,,,,,,17,,,,,,3,1,,25,,,,,,,,25,,,,,,25,4,3,2,1,30,4,17,0,4,25
2024,F101110100010,2S17,1,北海道大学,2,教育学院,2,1,教育学,S101,男,5,,,,,,7,1,,,,0,1,2,,16,,,1,,,,,12,3,,,,1,16,4,3,2,1,30,5,8,0,3,16
2024,F101110100010,2S17,1,北海道大学,2,教育学院,2,1,教育学,S101,女,5,,,,,,13,6,,,,1,5,0,,30,,,6,,,,,28,1,,,,1,30,4,3,2,1,30,5,19,0,6,30
2024,F101110100010,2Y51,1,北海道大学,2,環境科学院,2,1,環境起学,X182,男,3,,,,,,6,2,,,,,2,,,13,,,2,,,,,10,3,,,,,13,4,3,2,1,30,3,8,0,2,13
